女	0.010178	-0.146067	-0.086911	-0.083372	0.478019	-0.622843	1.134277	-0.662709	-0.061658	-0.115677	0.436535	0.135573	-0.377511	-0.398505	-0.103694	-0.313666	-0.453722	-0.169864	-0.201829	0.451597	-0.016660	-1.018247	-0.065679	0.784758	-0.239846	0.258588	-0.161715	-0.540558	0.226504	0.783441	0.106104	-0.113901	0.569907	-0.016665	-0.187490	-0.115673	0.181737	-0.683927	0.539062	0.032468	0.754870	0.431023	0.488524	-0.448062	0.345038	0.462508	-0.324386	-0.076126	-0.049036	0.426018	O
性	0.275105	0.451722	-0.324697	-0.097799	-0.270617	-0.340291	0.231919	-0.615251	0.345565	-0.152650	0.065165	-0.094343	-0.158663	-0.069491	0.097714	0.068937	-0.170443	-0.051338	0.144615	0.270174	-0.314710	-0.517435	0.011265	0.110204	0.238949	-0.093113	0.005452	0.068535	0.060269	0.229696	-0.206734	0.047393	0.275685	0.133131	-0.236299	-0.001895	0.157971	-0.081733	-0.057377	-0.089221	0.129342	0.103549	0.384304	-0.268350	0.299864	0.582433	-0.267846	0.066516	-0.160935	-0.263605	O
,	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O
岁	0.155483	-0.052854	0.272934	0.366036	0.453302	-0.273168	0.833754	-0.237104	0.063369	0.002895	0.714260	0.271376	-0.419749	-0.165195	-0.187031	-0.661424	0.369188	0.023821	-0.370326	0.033418	-0.135207	-0.663548	-0.190921	0.884142	-0.331295	0.441014	0.217894	-0.301371	-0.019571	1.011509	0.257836	0.359184	0.418306	-0.125447	-0.442521	0.231788	0.164079	-0.372414	0.734259	-0.260944	0.555457	0.814165	0.220632	0.446104	0.964465	-0.013553	-0.468324	0.267131	0.466923	0.366577	O
,	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O
农	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O
民	1.594264	0.569491	0.575772	-0.444499	1.046615	1.024563	-0.811281	-0.021639	-1.114609	0.391970	0.799810	0.822739	0.135641	-0.390150	0.459779	-0.173181	-0.407601	-0.806869	-0.547403	-0.350960	-0.440002	-0.844571	-0.553304	-0.158227	-0.438354	0.142687	-0.008583	0.229663	0.065025	0.222302	0.261397	-0.821830	-0.221715	-0.236841	0.818099	1.502716	0.625454	-0.326247	0.842736	-0.465935	0.043061	-0.424888	-0.449514	0.413471	0.326465	0.204650	0.099314	-0.661626	-0.492835	-0.478434	O
,	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O
