痛	0.163473	0.377304	-0.117544	0.088628	-0.103927	-0.263283	-0.233817	0.281086	-0.201166	-0.197342	0.083166	0.185094	-0.035198	-0.190459	-0.021599	0.003585	0.436826	-0.032794	-0.195873	0.242862	0.008306	-0.026464	-0.293042	-0.004947	0.294554	0.384226	-0.485891	0.368715	0.029664	-0.544454	0.183538	-0.017210	0.165785	-0.002764	0.122791	-0.053413	-0.122410	-0.383922	-0.044818	-0.371526	-0.318216	-0.325955	-0.221439	0.145688	-0.501243	0.119017	-0.217983	-0.352906	-0.214400	-0.163277	Sy-B
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O
小	0.163001	0.006206	-0.576872	0.113557	-0.227850	0.010900	-0.171475	-0.120443	-0.246896	0.140090	0.185028	0.047229	0.041862	0.203241	0.110664	0.184401	-0.105748	0.013830	0.011299	0.008459	0.013831	0.252698	0.016899	-0.374144	0.007315	0.226325	-0.378692	0.474174	-0.813248	0.034787	0.404309	-0.063761	-0.270756	0.328918	-0.154073	0.094507	-0.143776	0.433060	-0.431817	-0.433781	0.084486	-0.001984	0.105811	-0.061227	0.227538	0.308686	-0.507730	-0.149098	-0.343513	-0.084501	O
时	-0.139881	-0.306468	-0.348440	0.109640	-0.279528	-0.401167	0.190646	0.126747	-0.110307	-0.091580	-0.138723	0.208377	-0.166168	0.057820	-0.020820	0.174899	0.221035	-0.392535	-0.185276	0.306691	0.059857	0.281708	0.093721	0.491349	0.069745	0.156465	-0.007357	0.130438	-0.556231	0.317738	0.345997	-0.017247	-0.032841	0.030665	0.155059	-0.025132	-0.288732	-0.456410	-0.067458	0.046859	-0.034163	0.116581	-0.515175	-0.242006	0.451827	0.025621	-0.251690	-0.289996	-0.142036	-0.385012	O
。	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O
																																																			
伤	-0.315089	0.336364	-0.101161	-0.262826	0.221417	0.521034	-0.226776	-0.012057	0.216877	-0.580610	-0.022849	0.795827	0.068061	0.374094	-0.332399	0.139462	0.185831	-0.067040	-0.794451	-0.298134	-0.251583	-0.669453	0.639028	-0.131377	0.048328	0.607669	-0.214308	0.210487	-0.104227	0.043635	1.009886	-0.011484	-0.009609	-0.353497	0.173221	-0.041605	0.618949	-0.418526	0.241846	-0.143838	-0.209441	-0.411392	0.127450	-0.169097	0.312362	-0.083843	-0.007500	-0.446096	-0.817941	0.283945	O
后	-0.104686	-0.071469	-0.023803	-0.145819	-0.080070	0.465533	0.016220	-0.098209	-0.112330	-0.282284	0.030492	0.464694	-0.030082	-0.049222	0.049946	0.055001	0.222968	-0.250712	-0.380440	0.258213	-0.131851	0.095680	-0.138207	0.231619	-0.045824	0.123125	-0.088628	-0.070340	-0.284527	0.091428	0.182394	0.159044	-0.489163	-0.307641	0.291274	-0.327503	-0.285629	0.053822	-0.208942	-0.251832	0.040146	0.117080	-0.300014	0.268646	0.183839	-0.199503	0.074922	-0.013016	-0.202738	0.028909	O
疼	-0.063051	0.245123	-0.161457	0.188132	-0.184917	-0.140965	-0.060787	0.116404	-0.192944	-0.628981	0.195520	-0.083671	-0.097862	-0.326086	-0.361879	0.726182	0.474335	0.250995	-0.535487	0.463291	0.003530	0.010970	-0.017523	-0.319773	0.599727	0.744209	-0.745768	0.470424	-0.089316	0.118758	0.598430	0.544828	0.053572	-0.417134	0.331275	-0.098268	0.117117	-0.601745	0.105830	-0.410529	-0.654817	-0.440119	-0.278272	0.193039	-0.047440	-0.083968	0.072703	-0.156498	-0.311215	-0.436355	Sy-B
痛	0.163473	0.377304	-0.117544	0.088628	-0.103927	-0.263283	-0.233817	0.281086	-0.201166	-0.197342	0.083166	0.185094	-0.035198	-0.190459	-0.021599	0.003585	0.436826	-0.032794	-0.195873	0.242862	0.008306	-0.026464	-0.293042	-0.004947	0.294554	0.384226	-0.485891	0.368715	0.029664	-0.544454	0.183538	-0.017210	0.165785	-0.002764	0.122791	-0.053413	-0.122410	-0.383922	-0.044818	-0.371526	-0.318216	-0.325955	-0.221439	0.145688	-0.501243	0.119017	-0.217983	-0.352906	-0.214400	-0.163277	Sy-I
、	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O
头	-0.261590	-0.039909	-0.687947	-0.201070	0.329682	0.009515	-0.616746	0.291477	0.263338	0.243023	-0.230342	0.095865	-0.049753	-0.072653	-0.371982	0.257531	0.215505	-0.151906	-0.093549	0.172844	-0.066497	0.318238	0.156687	0.001796	0.441167	0.052593	-0.309963	0.219362	0.143131	-0.205633	0.273486	0.019082	-0.109555	-0.337030	-0.075067	-0.136114	-0.457782	-0.101913	-0.007185	-0.478001	-0.220236	-0.154210	-0.403474	-0.198365	-0.260036	0.318378	-0.199181	-0.423169	-0.028046	-0.363834	Sy-B
